,precip_mm,precip_in,tmax_c,tmax_f,heavy_rain,extreme_rain,extreme_heat,heat_emergency,heat_wave_day,weather_stress,lag1_precip_mm,lag2_precip_mm,roll3_precip_mm,roll7_precip_mm,prev_extreme_heat,prev_heavy_rain,heat_index_approx,windspeed_kmh,precip_hours,month,dow,year,total_incidents,avg_delay_min
precip_mm,1.0,1.0000000000000013,-0.0012472331785376935,-0.001247233178537722,0.7176679790106656,0.6207579388756468,-0.03886327939386191,-0.026426080187462536,-0.021362884466759595,0.5722356041138146,0.12335112248148712,-0.03172883787942111,0.5894189826720657,0.36740533342680587,0.002034991623780174,0.06715665271713855,0.015303529042164058,0.29251731802961733,0.6879556961430832,0.016180250142090798,0.004134652011253919,0.008038085634339899,0.31379054161308195,0.4493850354177873
precip_in,1.0000000000000013,1.0,-0.0012472331785377299,-0.00124723317853775,0.7176679790106639,0.6207579388756483,-0.03886327939386181,-0.026426080187462484,-0.02136288446675958,0.572235604113815,0.12335112248148714,-0.03172883787942121,0.5894189826720647,0.36740533342680604,0.0020349916237801698,0.06715665271713853,0.015303529042164038,0.29251731802961806,0.6879556961430846,0.016180250142090836,0.004134652011253881,0.008038085634340551,0.3137905416130823,0.4493850354177871
tmax_c,-0.0012472331785376935,-0.0012472331785377299,1.0,1.0000000000000007,-0.005764833105502696,-0.008766471833969714,0.3447118768950296,0.1673511838693031,0.2032037280593728,0.22667271991337853,-0.0165280047629117,-0.021473292024925733,-0.021192377352902126,-0.007229142161130812,0.305045382652014,-0.017400274601153412,0.9983087304423178,-0.12032384283296065,-0.046381195763440346,0.248456483450546,-0.013127155554124434,0.033502516401024106,0.021475637490375756,0.24162564342820542
tmax_f,-0.001247233178537722,-0.00124723317853775,1.0000000000000007,1.0,-0.005764833105502737,-0.008766471833969659,0.3447118768950288,0.16735118386930345,0.2032037280593729,0.2266727199133785,-0.01652800476291168,-0.021473292024925754,-0.02119237735290217,-0.007229142161130851,0.30504538265201303,-0.017400274601153457,0.9983087304423144,-0.12032384283296027,-0.046381195763440464,0.24845648345054508,-0.013127155554124408,0.03350251640102319,0.021475637490376252,0.2416256434282054
heavy_rain,0.7176679790106656,0.7176679790106639,-0.005764833105502696,-0.005764833105502737,1.0,0.4060857230502872,-0.021211904614423828,-0.016106752873642962,-0.021147285867274396,0.702221822495431,0.07525899900109255,-0.03121269812240125,0.4112857992340396,0.24309821082902663,-0.021211904614423845,0.054098770657380835,0.0027291506904576373,0.23851888847602762,0.4045446950489103,0.0019684038067954864,-0.013856240453500528,0.038665826063468835,0.3896454061529936,0.6444197869007069
extreme_rain,0.6207579388756468,0.6207579388756483,-0.008766471833969714,-0.008766471833969659,0.4060857230502872,1.0,-0.015076902222042951,-0.006540722386685581,-0.008587610871963235,0.494354479161131,0.030110564133571653,-0.011341706599647934,0.34531101366114814,0.22943199802742267,-0.015076902222042953,-0.013597649069220693,-0.0037070362471017066,0.1281190321237043,0.20904763165110796,0.029391471440150852,0.00747169678003395,0.015434168593588204,0.29122798321151677,0.26259895771501296
extreme_heat,-0.03886327939386191,-0.03886327939386181,0.3447118768950296,0.3447118768950288,-0.021211904614423828,-0.015076902222042951,1.0,0.43382402368590084,0.5695872232564996,0.6574694854942916,-0.048842170419430134,-0.018184983165111804,-0.05717556662758088,-0.05219412822454387,0.5227987421383661,-0.037127388051945764,0.34101156277985095,0.0012430809409054754,-0.06549186096021248,0.03864015864122243,-0.0012975736977895766,0.03296564845914952,0.214824756466302,0.7112370372011796
heat_emergency,-0.026426080187462536,-0.026426080187462484,0.1673511838693031,0.16735118386930345,-0.016106752873642962,-0.006540722386685581,0.43382402368590084,1.0,0.43086694909883677,0.2809957887057595,-0.026666027195723044,-0.00741726941082115,-0.03267202515815674,-0.03988827055547185,0.36929788245156064,-0.01610675287364295,0.16457264875583488,-0.007886622313811781,-0.04533036622875133,0.01909820156221453,-0.034531239278331786,0.030743995924898675,0.09168386537691689,0.3146811980258673
heat_wave_day,-0.021362884466759595,-0.02136288446675958,0.2032037280593728,0.2032037280593729,-0.021147285867274396,-0.008587610871963235,0.5695872232564996,0.43086694909883677,1.0,0.3689321067926041,-0.026122330398845355,-0.03309805753704816,-0.043511099761603785,-0.056200646342651234,0.5695872232564998,-0.021147285867274386,0.20286024329213387,-0.00047988146577780715,-0.03227796059286524,0.032273220671616684,0.014509265255911025,0.030139114019333314,0.11483976576329141,0.4000251993666846
weather_stress,0.5722356041138146,0.572235604113815,0.22667271991337853,0.2266727199133785,0.702221822495431,0.494354479161131,0.6574694854942916,0.2809957887057595,0.3689321067926041,1.0,0.020874343006634377,-0.034286252571934066,0.3017353380802173,0.1724164656995973,0.3356826146282085,0.004632326648382382,0.23067542337741542,0.17973687936816973,0.25715205626960125,0.034777866861484055,-0.007453776350952006,0.049866082802370815,0.4580621135616318,0.9415778361254064
lag1_precip_mm,0.12335112248148712,0.12335112248148714,-0.0165280047629117,-0.01652800476291168,0.07525899900109255,0.030110564133571653,-0.048842170419430134,-0.026666027195723044,-0.026122330398845355,0.020874343006634377,1.0,0.12336467471734835,0.6731646974619419,0.4152381600244449,-0.03880944764161113,0.717713369155227,-0.006742158168084251,0.1759238891293012,0.15155869910432188,0.01648072227675434,0.03612345725857121,0.008153262587735638,0.021769019149700558,0.02109583457931778
lag2_precip_mm,-0.03172883787942111,-0.03172883787942121,-0.021473292024925733,-0.021473292024925754,-0.03121269812240125,-0.011341706599647934,-0.018184983165111804,-0.00741726941082115,-0.03309805753704816,-0.034286252571934066,0.12336467471734835,1.0,0.589435196254524,0.4130193321853361,-0.048784427453070406,0.07530967221774644,-0.019114800788604062,-0.016547973157351806,-0.03170449207071137,0.01946644194238636,0.003938777802640265,0.007739284768952067,-0.01409855138206653,-0.03431455514812293
roll3_precip_mm,0.5894189826720657,0.5894189826720647,-0.021192377352902126,-0.02119237735290217,0.4112857992340396,0.34531101366114814,-0.05717556662758088,-0.03267202515815674,-0.043511099761603785,0.3017353380802173,0.6731646974619419,0.589435196254524,1.0,0.6455999332912173,-0.04619783368645102,0.4644543510703404,-0.005698480645578202,0.24399898284471236,0.43617519518974956,0.028146284359939447,0.023864124776030678,0.012921376219268433,0.1735720706854152,0.23550676437041917
roll7_precip_mm,0.36740533342680587,0.36740533342680604,-0.007229142161130812,-0.007229142161130851,0.24309821082902663,0.22943199802742267,-0.05219412822454387,-0.03988827055547185,-0.056200646342651234,0.1724164656995973,0.4152381600244449,0.4130193321853361,0.6455999332912173,1.0,-0.039395916780143106,0.2711425964879857,0.002858931660929694,0.09264443161646867,0.26744363983923813,0.04514140598216724,-0.00014545935178041146,0.020279262822042118,0.11134552545543651,0.12406363067389659
prev_extreme_heat,0.002034991623780174,0.0020349916237801698,0.305045382652014,0.30504538265201303,-0.021211904614423845,-0.015076902222042953,0.5227987421383661,0.36929788245156064,0.5695872232564998,0.3356826146282085,-0.03880944764161113,-0.048784427453070406,-0.04619783368645102,-0.039395916780143106,1.0,-0.02121190461442383,0.30787082532788573,0.0005347679103795799,-0.01878280374910502,0.04109750755809281,0.011383365677925271,0.03296564845914976,0.1047312720461942,0.36439650339829693
prev_heavy_rain,0.06715665271713855,0.06715665271713853,-0.017400274601153412,-0.017400274601153457,0.054098770657380835,-0.013597649069220693,-0.037127388051945764,-0.01610675287364295,-0.021147285867274386,0.004632326648382382,0.717713369155227,0.07530967221774644,0.4644543510703404,0.2711425964879857,-0.02121190461442383,1.0,-0.011780457574865026,0.10447544538917655,0.09323883971006118,0.0037714537726781703,0.02336170145417502,0.03866582606347016,0.029454042605316637,0.010513206288549971
heat_index_approx,0.015303529042164058,0.015303529042164038,0.9983087304423178,0.9983087304423144,0.0027291506904576373,-0.0037070362471017066,0.34101156277985095,0.16457264875583488,0.20286024329213387,0.23067542337741542,-0.006742158168084251,-0.019114800788604062,-0.005698480645578202,0.002858931660929694,0.30787082532788573,-0.011780457574865026,1.0,-0.12060597592821191,-0.019358492144925257,0.2587587365339414,-0.013318475911500434,0.0239733671816032,0.020692249581444857,0.24480938180557268
windspeed_kmh,0.29251731802961733,0.29251731802961806,-0.12032384283296065,-0.12032384283296027,0.23851888847602762,0.1281190321237043,0.0012430809409054754,-0.007886622313811781,-0.00047988146577780715,0.17973687936816973,0.1759238891293012,-0.016547973157351806,0.24399898284471236,0.09264443161646867,0.0005347679103795799,0.10447544538917655,-0.12060597592821191,1.0,0.23019818892695879,-0.19441441245033234,0.03357319872066852,-0.07742280639101114,0.015170855855256455,0.1593895289472111
precip_hours,0.6879556961430832,0.6879556961430846,-0.046381195763440346,-0.046381195763440464,0.4045446950489103,0.20904763165110796,-0.06549186096021248,-0.04533036622875133,-0.03227796059286524,0.25715205626960125,0.15155869910432188,-0.03170449207071137,0.43617519518974956,0.26744363983923813,-0.01878280374910502,0.09323883971006118,-0.019358492144925257,0.23019818892695879,1.0,-0.03418473775869248,0.03956729188239498,-0.025823873935442988,0.13419136809530666,0.22203653317384436
month,0.016180250142090798,0.016180250142090836,0.248456483450546,0.24845648345054508,0.0019684038067954864,0.029391471440150852,0.03864015864122243,0.01909820156221453,0.032273220671616684,0.034777866861484055,0.01648072227675434,0.01946644194238636,0.028146284359939447,0.04514140598216724,0.04109750755809281,0.0037714537726781703,0.2587587365339414,-0.19441441245033234,-0.03418473775869248,1.0,0.0018419377919245427,-0.007510992635646786,0.05219942657297222,0.023681798425109216
dow,0.004134652011253919,0.004134652011253881,-0.013127155554124434,-0.013127155554124408,-0.013856240453500528,0.00747169678003395,-0.0012975736977895766,-0.034531239278331786,0.014509265255911025,-0.007453776350952006,0.03612345725857121,0.003938777802640265,0.023864124776030678,-0.00014545935178041146,0.011383365677925271,0.02336170145417502,-0.013318475911500434,0.03357319872066852,0.03956729188239498,0.0018419377919245427,1.0,-0.00038617662031930423,-0.008394064766210135,-0.007029902424640772
year,0.008038085634339899,0.008038085634340551,0.033502516401024106,0.03350251640102319,0.038665826063468835,0.015434168593588204,0.03296564845914952,0.030743995924898675,0.030139114019333314,0.049866082802370815,0.008153262587735638,0.007739284768952067,0.012921376219268433,0.020279262822042118,0.03296564845914976,0.03866582606347016,0.0239733671816032,-0.07742280639101114,-0.025823873935442988,-0.007510992635646786,-0.00038617662031930423,1.0,0.47922324464750427,0.039941756656285514
total_incidents,0.31379054161308195,0.3137905416130823,0.021475637490375756,0.021475637490376252,0.3896454061529936,0.29122798321151677,0.214824756466302,0.09168386537691689,0.11483976576329141,0.4580621135616318,0.021769019149700558,-0.01409855138206653,0.1735720706854152,0.11134552545543651,0.1047312720461942,0.029454042605316637,0.020692249581444857,0.015170855855256455,0.13419136809530666,0.05219942657297222,-0.008394064766210135,0.47922324464750427,1.0,0.41234678447481116
avg_delay_min,0.4493850354177873,0.4493850354177871,0.24162564342820542,0.2416256434282054,0.6444197869007069,0.26259895771501296,0.7112370372011796,0.3146811980258673,0.4000251993666846,0.9415778361254064,0.02109583457931778,-0.03431455514812293,0.23550676437041917,0.12406363067389659,0.36439650339829693,0.010513206288549971,0.24480938180557268,0.1593895289472111,0.22203653317384436,0.023681798425109216,-0.007029902424640772,0.039941756656285514,0.41234678447481116,1.0
