line,line_color,flood_risk,heat_risk,vulnerability,economic_exposure,composite_risk,risk_label,ridership_k
L,#A7A9AC,9.5,7.86,8.6,5.12,8.39,Critical,205
A,#0039A6,9.55,6.94,7.01,5.29,7.83,High,250
6,#00933C,7.37,7.76,7.12,9.65,7.67,High,400
C,#0039A6,9.2,7.19,7.17,3.83,7.65,High,120
1,#EE352E,7.82,7.24,7.55,8.01,7.61,High,330
G,#6CBE45,9.27,6.99,6.91,3.3,7.52,High,90
F,#FF6319,8.65,6.95,6.65,6.03,7.48,High,295
5,#00933C,7.03,8.12,7.02,6.29,7.28,High,200
2,#EE352E,7.14,7.92,7.06,6.18,7.26,High,290
E,#0039A6,8.34,6.82,6.82,4.83,7.23,High,195
4,#00933C,6.81,7.53,7.12,7.66,7.17,High,335
3,#EE352E,7.06,7.51,7.12,5.7,7.07,High,185
R,#FCCC0A,7.72,6.71,6.28,3.85,6.74,High,180
N,#FCCC0A,7.86,6.3,6.7,3.69,6.74,High,165
Q,#FCCC0A,7.61,6.3,6.54,4.13,6.65,High,175
B,#FF6319,7.42,6.61,6.37,3.7,6.6,High,135
D,#FF6319,7.35,6.63,6.27,3.92,6.57,High,155
M,#FF6319,6.8,7.01,6.25,3.3,6.4,High,105
7,#B933AD,6.33,6.56,5.84,7.25,6.39,High,290
W,#FCCC0A,7.32,6.0,6.2,3.1,6.28,High,60
J,#996633,5.62,5.68,5.94,1.75,5.31,Medium,80
Z,#996633,5.61,5.62,5.88,1.6,5.27,Medium,35
JZ,#996633,5.5,5.5,5.5,2.0,5.15,Medium,80
SIR,#1D6363,5.0,4.5,6.02,0.5,4.6,Medium,20
S FKLN,#808183,4.5,5.0,5.0,0.25,4.33,Medium,10
S 42ND,#808183,4.0,5.0,5.0,0.38,4.14,Medium,15
S ROCK,#808183,4.0,5.0,5.0,0.2,4.12,Medium,8
